#Query	Hit	E-value	Identity	Score	Query-start	Query-end	Hit-start	Hit-end	Hit-length	description	class	class description
comp1381_c0_seq1_FPKM_all:113.498_FPKM_rel:58.614_len:4101_path	PRK12373	2e-04	25	43.7	181	317	192	327	400	NADH dehydrogenase subunit E	C	Energy production and conversion
comp1361_c0_seq1_FPKM_all:129.777_FPKM_rel:129.777_len:3555_pat	PRK00042	1e-86	47	314	2	243	1	246	250	triosephosphate isomerase	G	Carbohydrate transport and metabolism
comp1546_c0_seq2_FPKM_all:59.292_FPKM_rel:37.98_len:375_path:[0	PRK11049	2e-08	57	52.8	89	121	14	46	469	D-alanine/D-serine/glycine permease	E	Amino acid transport and metabolism
comp1782_c0_seq1_FPKM_all:133.098_FPKM_rel:67.635_len:1116_path	PRK03996	6e-71	46	262	7	241	10	239	241	proteasome subunit alpha	O	Posttranslational modification, protein turnover, chaperones
comp102_c0_seq1_FPKM_all:809.557_FPKM_rel:809.557_len:1922_path	PRK10531	2e-10	23	61.7	31	242	91	347	422	acyl-CoA thioesterase	G	Carbohydrate transport and metabolism
comp1544_c0_seq1_FPKM_all:98.901_FPKM_rel:25.005_len:4890_path:	PRK00279	1e-33	28	137	53	235	6	213	215	adenylate kinase	F	Nucleotide transport and metabolism
comp347_c0_seq1_FPKM_all:323.773_FPKM_rel:323.773_len:542_path:	PRK12857	2e-15	33	75.5	12	116	9	115	284	fructose-1,6-bisphosphate aldolase	G	Carbohydrate transport and metabolism
comp71_c0_seq1_FPKM_all:694.476_FPKM_rel:694.476_len:4819_path:	PRK12341	7e-34	27	140	133	476	54	381	381	putative acyl-CoA dehydrogenase	I	Lipid transport and metabolism
comp9610_c0_seq1_FPKM_all:2.981_FPKM_rel:2.981_len:550_path:[18	PRK10779	4e-04	35	39.3	124	182	224	283	449	zinc metallopeptidase RseP	M	Cell wall/membrane/envelope biogenesis
comp9531_c0_seq1_FPKM_all:6.898_FPKM_rel:6.898_len:505_path:[25	PRK11289	3e-06	43	46.0	7	61	43	100	384	beta-lactamase/D-alanine carboxypeptidase	V	Defense mechanisms
comp8019_c0_seq5_FPKM_all:22.007_FPKM_rel:22.007_len:1583_path:	PRK01109	7e-25	25	110	9	331	264	564	590	ATP-dependent DNA ligase	L	Replication, recombination and repair
comp8546_c0_seq2_FPKM_all:9.887_FPKM_rel:5.642_len:684_path:[0,	PRK05704	3e-27	40	116	129	227	3	101	407	dihydrolipoamide succinyltransferase	C	Energy production and conversion
comp9188_c0_seq3_FPKM_all:18.567_FPKM_rel:6.277_len:1295_path:[	PRK05192	1e-124	46	441	1	341	281	618	618	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	D	Cell cycle control, cell division, chromosome partitioning
comp8658_c0_seq1_FPKM_all:17.391_FPKM_rel:17.391_len:381_path:[	PRK06461	3e-08	26	51.6	5	68	36	99	129	single-stranded DNA-binding protein	L	Replication, recombination and repair
comp9962_c0_seq1_FPKM_all:8.278_FPKM_rel:2.75_len:3664_path:[0,	PRK00102	4e-24	29	109	946	1213	3	229	229	ribonuclease III	K	Transcription
comp9962_c0_seq1_FPKM_all:8.278_FPKM_rel:2.75_len:3664_path:[0,	PRK13766	7e-11	34	65.3	181	319	364	493	773	Hef nuclease	L	Replication, recombination and repair
comp25801_c0_seq1_FPKM_all:3.238_FPKM_rel:3.238_len:1002_path:[	PRK12267	1e-23	27	105	67	197	511	648	648	methionyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
comp25001_c0_seq1_FPKM_all:2.169_FPKM_rel:2.169_len:378_path:[0	PRK08651	6e-05	25	40.4	11	97	308	392	394	succinyl-diaminopimelate desuccinylase	E	Amino acid transport and metabolism
comp11200_c0_seq4_FPKM_all:3.714_FPKM_rel:1.835_len:1545_path:[	PRK13771	3e-05	40	45.0	462	496	54	88	334	putative alcohol dehydrogenase	R	General function prediction only
comp10610_c0_seq4_FPKM_all:9.298_FPKM_rel:5.787_len:360_path:[0	PRK04172	5e-04	31	37.5	2	92	8	98	489	phenylalanyl-tRNA synthetase subunit alpha	J	Translation, ribosomal structure and biogenesis
comp10529_c0_seq2_FPKM_all:11.333_FPKM_rel:6.52_len:440_path:[0	PRK10514	2e-04	35	40.0	84	139	71	125	145	putative acetyltransferase	R	General function prediction only
comp10190_c0_seq2_FPKM_all:15.384_FPKM_rel:8.185_len:797_path:[	PRK10769	4e-12	37	64.4	1	102	43	126	159	dihydrofolate reductase	H	Coenzyme transport and metabolism
comp11855_c0_seq2_FPKM_all:14.628_FPKM_rel:14.628_len:523_path:	PRK04016	8e-11	43	61.4	28	75	15	62	62	DNA-directed RNA polymerase subunit N	K	Transcription
comp11871_c0_seq2_FPKM_all:6.432_FPKM_rel:6.432_len:308_path:[9	PRK11133	4e-04	61	37.6	2	22	267	287	322	phosphoserine phosphatase	E	Amino acid transport and metabolism
comp10674_c0_seq2_FPKM_all:7.797_FPKM_rel:4.026_len:1739_path:[	PRK09431	1e-08	27	56.1	303	428	343	454	554	asparagine synthetase B	E	Amino acid transport and metabolism
comp10694_c0_seq8_FPKM_all:2.685_FPKM_rel:2.47_len:318_path:[33	PRK11824	9e-05	31	40.0	2	72	560	622	693	polynucleotide phosphorylase/polyadenylase	J	Translation, ribosomal structure and biogenesis
comp11300_c0_seq3_FPKM_all:8.383_FPKM_rel:6.02_len:1373_path:[2	PRK13184	1e-10	30	62.9	1	139	61	231	932	serine/threonine-protein kinase	X	Multifunctional
comp11549_c0_seq2_FPKM_all:13.241_FPKM_rel:6.62_len:552_path:[0	PRK10902	2e-09	35	57.1	28	136	152	248	269	FKBP-type peptidyl-prolyl cis-trans isomerase	O	Posttranslational modification, protein turnover, chaperones
comp11921_c0_seq5_FPKM_all:7.844_FPKM_rel:5.858_len:688_path:[1	PRK13657	3e-40	46	159	4	143	433	571	588	cyclic beta-1,2-glucan ABC transporter	V	Defense mechanisms
comp10234_c0_seq1_FPKM_all:12.351_FPKM_rel:12.351_len:1756_path	PRK12317	1e-108	38	388	46	473	3	420	425	elongation factor 1-alpha	J	Translation, ribosomal structure and biogenesis
comp11785_c0_seq1_FPKM_all:12.356_FPKM_rel:4.158_len:879_path:[	PRK13184	3e-07	24	50.5	12	126	113	238	932	serine/threonine-protein kinase	X	Multifunctional
comp6092_c0_seq2_FPKM_all:25.974_FPKM_rel:7.379_len:1833_path:[	PRK01766	1e-21	22	99.1	16	439	9	437	456	multidrug efflux protein	V	Defense mechanisms
comp7072_c0_seq2_FPKM_all:12.233_FPKM_rel:6.93_len:1932_path:[0	PRK14201	2e-08	35	54.3	95	210	2	108	121	camphor resistance protein CrcB	D	Cell cycle control, cell division, chromosome partitioning
comp6655_c0_seq1_FPKM_all:24.536_FPKM_rel:9.571_len:2159_path:[	PRK04335	5e-05	24	44.4	272	402	43	173	313	cell division protein ZipA	D	Cell cycle control, cell division, chromosome partitioning
comp6534_c0_seq2_FPKM_all:17.02_FPKM_rel:8.794_len:602_path:[77	PRK00070	8e-06	43	45.1	51	101	5	62	126	4'-phosphopantetheinyl transferase	I	Lipid transport and metabolism
comp7998_c0_seq1_FPKM_all:16.126_FPKM_rel:11.018_len:341_path:[	PRK04239	3e-10	50	58.4	42	112	1	67	110	hypothetical protein	R	General function prediction only
comp7918_c0_seq1_FPKM_all:13.712_FPKM_rel:13.712_len:2852_path:	PRK03759	1e-12	23	70.0	17	176	5	156	184	isopentenyl-diphosphate delta-isomerase	I	Lipid transport and metabolism
comp7409_c0_seq4_FPKM_all:11.42_FPKM_rel:7.439_len:326_path:[0,	PRK05380	1e-35	66	142	45	107	2	64	533	CTP synthetase	F	Nucleotide transport and metabolism
comp7220_c0_seq2_FPKM_all:20.564_FPKM_rel:20.513_len:666_path:[	PRK02304	2e-36	63	147	135	220	6	91	175	adenine phosphoribosyltransferase	F	Nucleotide transport and metabolism
comp6275_c0_seq2_FPKM_all:34.508_FPKM_rel:18.354_len:1351_path:	PRK06180	3e-47	36	183	15	289	6	270	277	short chain dehydrogenase	R	General function prediction only
comp5970_c0_seq4_FPKM_all:29.372_FPKM_rel:3.853_len:2721_path:[	PRK05398	7e-19	32	90.8	323	495	5	186	416	formyl-coenzyme A transferase	C	Energy production and conversion
comp5284_c0_seq1_FPKM_all:40.327_FPKM_rel:36.684_len:2147_path:	PRK13184	1e-10	25	62.9	164	425	4	290	932	serine/threonine-protein kinase	X	Multifunctional
comp5002_c0_seq2_FPKM_all:24.967_FPKM_rel:15.227_len:803_path:[	PRK10754	4e-08	33	52.0	94	165	125	196	327	quinone oxidoreductase, NADPH-dependent	X	Multifunctional
comp5697_c0_seq2_FPKM_all:29.676_FPKM_rel:15.596_len:1533_path:	PRK12810	4e-11	58	64.0	5	40	145	180	471	glutamate synthase subunit beta	X	Multifunctional
comp4943_c0_seq1_FPKM_all:17.937_FPKM_rel:8.973_len:4427_path:[	PRK11107	3e-56	46	216	1271	1474	284	484	919	hybrid sensory histidine kinase BarA	T	Signal transduction mechanisms
comp4266_c0_seq6_FPKM_all:16.307_FPKM_rel:4.828_len:3990_path:[	PRK10811	3e-14	21	75.8	493	797	685	1003	1068	ribonuclease E	J	Translation, ribosomal structure and biogenesis
comp14032_c0_seq2_FPKM_all:7.024_FPKM_rel:3.734_len:1308_path:[	PRK12676	5e-10	25	60.3	148	354	85	261	263	bifunctional inositol-1 monophosphatase/fructose-1,6-bisphosphatase	G	Carbohydrate transport and metabolism
comp18172_c0_seq1_FPKM_all:4.225_FPKM_rel:4.225_len:970_path:[0	PRK15098	7e-15	25	76.3	42	275	41	290	765	beta-D-glucoside glucohydrolase	G	Carbohydrate transport and metabolism
comp19297_c0_seq2_FPKM_all:4.949_FPKM_rel:1.301_len:1470_path:[	PRK05724	4e-10	41	60.9	8	58	268	318	319	acetyl-CoA carboxylase carboxyltransferase subunit alpha	I	Lipid transport and metabolism
comp19192_c0_seq1_FPKM_all:5.959_FPKM_rel:5.959_len:556_path:[0	PRK13529	5e-48	44	185	56	185	15	144	563	malate dehydrogenase	C	Energy production and conversion
comp18174_c0_seq3_FPKM_all:3.142_FPKM_rel:2.444_len:587_path:[1	PRK09347	1e-32	50	132	2	112	77	186	188	GTP cyclohydrolase I	H	Coenzyme transport and metabolism
comp19587_c0_seq1_FPKM_all:2.922_FPKM_rel:2.922_len:374_path:[2	PRK07576	9e-29	45	120	1	122	112	225	264	short chain dehydrogenase	X	Multifunctional
comp20933_c0_seq1_FPKM_all:3.937_FPKM_rel:3.937_len:642_path:[0	PRK06187	8e-22	33	96.4	1	110	422	521	521	long-chain-fatty-acid--CoA ligase	X	Multifunctional
comp13097_c0_seq3_FPKM_all:5.345_FPKM_rel:5.345_len:492_path:[0	PRK05716	2e-24	58	105	1	58	192	249	252	methionine aminopeptidase	J	Translation, ribosomal structure and biogenesis
comp12029_c0_seq2_FPKM_all:11.056_FPKM_rel:8.32_len:312_path:[6	PRK11132	1e-34	75	139	18	93	139	214	273	serine acetyltransferase	E	Amino acid transport and metabolism
comp31492_c0_seq1_FPKM_all:2.943_FPKM_rel:2.943_len:325_path:[0	PRK13763	2e-11	37	61.8	11	77	101	167	181	putative RNA-processing protein	X	Multifunctional
comp3291_c0_seq1_FPKM_all:39.865_FPKM_rel:39.865_len:921_path:[	PRK07487	3e-22	33	100	155	305	13	162	469	amidase	J	Translation, ribosomal structure and biogenesis
comp3330_c0_seq1_FPKM_all:52.668_FPKM_rel:26.352_len:3721_path:	PRK07994	9e-06	18	47.9	838	985	367	515	647	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp2035_c0_seq2_FPKM_all:89.355_FPKM_rel:24.057_len:1123_path:	PRK11720	2e-63	51	236	1	152	177	326	346	galactose-1-phosphate uridylyltransferase	C	Energy production and conversion
comp2426_c0_seq3_FPKM_all:35.445_FPKM_rel:18.636_len:953_path:[	PRK06958	2e-06	43	47.9	133	204	88	164	182	single-stranded DNA-binding protein	L	Replication, recombination and repair
comp2854_c0_seq1_FPKM_all:57.078_FPKM_rel:57.078_len:3622_path:	PRK12323	7e-05	19	44.9	384	680	365	625	700	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp3458_c0_seq1_FPKM_all:76.177_FPKM_rel:76.177_len:1363_path:	PRK00565	2e-07	27	52.0	185	310	12	111	112	50S ribosomal protein L22	J	Translation, ribosomal structure and biogenesis
comp2753_c0_seq5_FPKM_all:47.999_FPKM_rel:5.813_len:7021_path:[	PRK10733	5e-05	28	46.2	1291	1400	188	307	644	ATP-dependent metalloprotease	O	Posttranslational modification, protein turnover, chaperones
comp26752_c0_seq1_FPKM_all:2.98_FPKM_rel:2.98_len:573_path:[0].	PRK11899	5e-10	53	58.7	129	167	6	44	279	prephenate dehydratase	E	Amino acid transport and metabolism
comp26744_c0_seq1_FPKM_all:2.484_FPKM_rel:2.484_len:605_path:[0	PRK15098	2e-20	31	94.0	5	188	191	362	765	beta-D-glucoside glucohydrolase	G	Carbohydrate transport and metabolism
comp29656_c0_seq1_FPKM_all:2.302_FPKM_rel:2.302_len:460_path:[0	PRK11570	2e-08	37	52.9	75	153	113	189	206	peptidyl-prolyl cis-trans isomerase	O	Posttranslational modification, protein turnover, chaperones
comp17267_c0_seq3_FPKM_all:3.357_FPKM_rel:3.357_len:407_path:[2	PRK10832	2e-22	54	99.2	59	133	3	77	182	phosphatidylglycerophosphate synthetase	I	Lipid transport and metabolism
comp16242_c0_seq2_FPKM_all:3.39_FPKM_rel:1.75_len:937_path:[106	PRK14875	2e-06	23	48.0	70	270	132	327	371	acetoin dehydrogenase E2 subunit dihydrolipoyllysine-residue acetyltransferase	X	Multifunctional
comp17728_c0_seq1_FPKM_all:3.094_FPKM_rel:3.094_len:850_path:[0	PRK09406	9e-20	32	92.5	5	168	298	454	457	succinic semialdehyde dehydrogenase	C	Energy production and conversion
comp16176_c0_seq1_FPKM_all:4.455_FPKM_rel:4.455_len:483_path:[9	PRK04195	4e-05	34	42.2	31	96	410	475	482	replication factor C large subunit	L	Replication, recombination and repair
comp16768_c0_seq2_FPKM_all:5.268_FPKM_rel:4.073_len:1543_path:[	PRK08439	6e-27	30	117	48	314	145	402	406	3-oxoacyl-(acyl carrier protein) synthase II	X	Multifunctional
comp23778_c0_seq3_FPKM_all:2.53_FPKM_rel:1.186_len:432_path:[11	PRK09581	2e-12	38	66.5	13	79	46	110	457	response regulator PleD	T	Signal transduction mechanisms
comp23345_c0_seq2_FPKM_all:3.105_FPKM_rel:2.823_len:363_path:[5	PRK09485	1e-41	47	162	1	115	147	261	304	homocysteine methyltransferase	E	Amino acid transport and metabolism
comp23721_c0_seq1_FPKM_all:3.72_FPKM_rel:3.72_len:505_path:[0].	PRK05341	3e-42	55	165	9	126	6	118	438	homogentisate 1,2-dioxygenase	Q	Secondary metabolites biosynthesis, transport and catabolism
comp22284_c0_seq1_FPKM_all:2.595_FPKM_rel:1.483_len:645_path:[0	PRK02106	7e-11	27	62.2	3	136	391	515	560	choline dehydrogenase	E	Amino acid transport and metabolism
comp743_c0_seq2_FPKM_all:248.271_FPKM_rel:178.115_len:2237_path	PRK10077	2e-47	26	185	181	646	16	476	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp418_c0_seq1_FPKM_all:232.485_FPKM_rel:232.485_len:3537_path	PRK09442	7e-07	23	51.0	224	544	110	448	483	sodium/panthothenate symporter	H	Coenzyme transport and metabolism
comp540_c0_seq1_FPKM_all:197.494_FPKM_rel:197.494_len:1806_path	PRK00216	9e-20	40	92.1	36	146	46	154	239	ubiquinone/menaquinone biosynthesis methyltransferase	H	Coenzyme transport and metabolism
comp850_c0_seq1_FPKM_all:225.622_FPKM_rel:225.622_len:2010_path	PRK11055	2e-31	26	131	41	397	4	340	342	galactose-1-epimerase	G	Carbohydrate transport and metabolism
comp119_c0_seq1_FPKM_all:1247.466_FPKM_rel:1247.466_len:2601_pa	PRK05218	0.0	44	737	63	733	1	613	613	heat shock protein 90	O	Posttranslational modification, protein turnover, chaperones
comp1048_c0_seq1_FPKM_all:169.43_FPKM_rel:169.43_len:2036_path:	PRK00485	0.0	65	857	156	620	1	462	464	fumarate hydratase	C	Energy production and conversion
comp1324_c0_seq1_FPKM_all:150.188_FPKM_rel:150.188_len:1349_pat	PRK07539	8e-64	48	239	93	250	1	154	154	NADH dehydrogenase subunit E	C	Energy production and conversion
comp132_c0_seq2_FPKM_all:397.956_FPKM_rel:229.246_len:3296_path	PRK10791	1e-14	34	76.0	89	244	2	159	164	peptidyl-prolyl cis-trans isomerase B (rotamase B)	O	Posttranslational modification, protein turnover, chaperones
comp1572_c0_seq1_FPKM_all:152.348_FPKM_rel:152.348_len:2258_pat	PRK10077	2e-26	23	115	180	640	25	475	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp1174_c0_seq1_FPKM_all:185.957_FPKM_rel:185.957_len:2031_pat	PRK12341	4e-39	27	157	153	535	12	369	381	putative acyl-CoA dehydrogenase	I	Lipid transport and metabolism
comp109_c0_seq1_FPKM_all:1147.132_FPKM_rel:577.872_len:2098_pat	PRK10965	4e-05	29	45.0	87	188	70	170	523	multicopper oxidase	Q	Secondary metabolites biosynthesis, transport and catabolism
comp9329_c0_seq5_FPKM_all:14.657_FPKM_rel:4.552_len:3924_path:[	PRK11131	1e-121	35	432	578	1215	38	691	1294	ATP-dependent RNA helicase HrpA	L	Replication, recombination and repair
comp9329_c0_seq5_FPKM_all:14.657_FPKM_rel:4.552_len:3924_path:[	PRK05901	7e-07	29	51.9	366	474	101	192	509	RNA polymerase sigma factor	K	Transcription
comp8569_c0_seq4_FPKM_all:12.435_FPKM_rel:11.191_len:412_path:[	PRK04020	4e-43	44	168	1	137	39	174	204	30S ribosomal protein S2	J	Translation, ribosomal structure and biogenesis
comp9265_c0_seq1_FPKM_all:14.092_FPKM_rel:14.058_len:1001_path:	PRK04301	3e-23	34	103	85	278	69	253	317	DNA repair and recombination protein RadA	L	Replication, recombination and repair
comp8624_c0_seq10_FPKM_all:6.854_FPKM_rel:6.559_len:578_path:[9	PRK13225	3e-04	24	39.3	48	147	143	241	273	phosphoglycolate phosphatase	R	General function prediction only
comp9066_c0_seq3_FPKM_all:10.363_FPKM_rel:5.212_len:557_path:[9	PRK11176	5e-38	49	151	12	132	452	572	582	lipid transporter ATP-binding/permease protein	V	Defense mechanisms
comp33018_c0_seq1_FPKM_all:1.803_FPKM_rel:1.803_len:360_path:[0	PRK10812	1e-06	31	46.3	7	109	80	180	265	putative DNAse	L	Replication, recombination and repair
comp33699_c0_seq1_FPKM_all:2.806_FPKM_rel:2.806_len:353_path:[0	PRK00654	8e-12	32	63.2	1	59	404	461	466	glycogen synthase	G	Carbohydrate transport and metabolism
comp33364_c0_seq1_FPKM_all:2.337_FPKM_rel:2.337_len:380_path:[1	PRK01109	3e-12	32	65.0	1	98	279	371	590	ATP-dependent DNA ligase	L	Replication, recombination and repair
comp25658_c0_seq1_FPKM_all:2.925_FPKM_rel:1.53_len:759_path:[0,	PRK10724	5e-04	26	38.0	3	124	40	158	158	hypothetical protein	I	Lipid transport and metabolism
comp24693_c0_seq1_FPKM_all:2.854_FPKM_rel:2.854_len:742_path:[0	PRK10745	7e-56	39	211	1	246	151	394	622	potassium transport protein Kup	P	Inorganic ion transport and metabolism
comp25074_c0_seq1_FPKM_all:2.42_FPKM_rel:1.489_len:367_path:[0,	PRK06299	3e-13	36	68.7	9	87	362	444	565	30S ribosomal protein S1	J	Translation, ribosomal structure and biogenesis
comp35635_c0_seq1_FPKM_all:1.591_FPKM_rel:1.591_len:322_path:[0	PRK04175	3e-06	55	44.5	1	36	52	87	122	50S ribosomal protein L7Ae	J	Translation, ribosomal structure and biogenesis
comp10859_c0_seq5_FPKM_all:7.215_FPKM_rel:3.753_len:1174_path:[	PRK12849	2e-07	57	51.7	4	31	49	76	542	chaperonin GroEL	O	Posttranslational modification, protein turnover, chaperones
comp6680_c0_seq1_FPKM_all:29.323_FPKM_rel:29.323_len:1541_path:	PRK07764	1e-05	22	46.1	95	218	614	742	824	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp6815_c0_seq6_FPKM_all:24.014_FPKM_rel:13.52_len:677_path:[8	PRK08315	7e-33	34	135	29	224	43	231	559	AMP-binding domain protein	X	Multifunctional
comp7860_c0_seq2_FPKM_all:25.602_FPKM_rel:24.064_len:1865_path:	PRK09563	1e-32	29	136	218	510	13	273	287	GTPase YlqF	R	General function prediction only
comp7746_c0_seq2_FPKM_all:23.677_FPKM_rel:12.549_len:1154_path:	PRK13902	2e-21	25	97.6	3	247	493	720	900	alanyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
comp7445_c0_seq2_FPKM_all:18.686_FPKM_rel:18.507_len:3440_path:	PRK02427	5e-90	34	327	4	373	68	429	435	3-phosphoshikimate 1-carboxyvinyltransferase	E	Amino acid transport and metabolism
comp7445_c0_seq2_FPKM_all:18.686_FPKM_rel:18.507_len:3440_path:	PRK00258	2e-50	31	196	830	1108	10	272	278	shikimate 5-dehydrogenase	E	Amino acid transport and metabolism
comp7445_c0_seq2_FPKM_all:18.686_FPKM_rel:18.507_len:3440_path:	PRK00131	6e-22	31	101	397	545	2	149	175	shikimate kinase	E	Amino acid transport and metabolism
comp7445_c0_seq2_FPKM_all:18.686_FPKM_rel:18.507_len:3440_path:	PRK02412	1e-20	28	97.7	612	822	43	251	253	3-dehydroquinate dehydratase	E	Amino acid transport and metabolism
comp6455_c0_seq2_FPKM_all:6.451_FPKM_rel:3.434_len:1313_path:[0	PRK06753	3e-12	22	68.2	93	313	3	158	373	hypothetical protein	X	Multifunctional
comp4274_c0_seq2_FPKM_all:61.147_FPKM_rel:46.163_len:930_path:[	PRK11565	2e-28	34	120	1	174	107	262	275	2,5-diketo-D-gluconate reductase A	R	General function prediction only
comp5424_c0_seq2_FPKM_all:43.142_FPKM_rel:22.335_len:2303_path:	PRK00698	2e-23	32	104	17	237	2	205	205	thymidylate kinase	F	Nucleotide transport and metabolism
comp4286_c0_seq2_FPKM_all:66.458_FPKM_rel:33.444_len:1347_path:	PRK05716	1e-92	48	335	135	384	3	249	252	methionine aminopeptidase	J	Translation, ribosomal structure and biogenesis
comp4018_c0_seq1_FPKM_all:46.92_FPKM_rel:29.563_len:305_path:[1	PRK02190	3e-13	34	67.9	5	92	79	149	301	agmatinase	E	Amino acid transport and metabolism
comp5087_c0_seq6_FPKM_all:31.169_FPKM_rel:15.878_len:755_path:[	PRK04180	1e-124	78	438	1	209	43	251	293	pyridoxal biosynthesis lyase PdxS	H	Coenzyme transport and metabolism
comp5741_c0_seq1_FPKM_all:22.35_FPKM_rel:16.835_len:353_path:[5	PRK12810	1e-53	55	202	1	117	155	268	471	glutamate synthase subunit beta	X	Multifunctional
comp15619_c0_seq1_FPKM_all:7.78_FPKM_rel:7.78_len:1317_path:[0]	PRK09257	1e-152	51	531	8	371	19	380	396	aromatic amino acid aminotransferase	E	Amino acid transport and metabolism
comp15496_c0_seq1_FPKM_all:5.899_FPKM_rel:5.899_len:469_path:[0	PRK07729	2e-42	45	166	1	151	41	191	343	glyceraldehyde-3-phosphate dehydrogenase	G	Carbohydrate transport and metabolism
comp14766_c0_seq1_FPKM_all:6.389_FPKM_rel:6.389_len:989_path:[0	PRK03619	9e-08	39	52.4	159	213	40	100	219	phosphoribosylformylglycinamidine synthase I	F	Nucleotide transport and metabolism
comp14352_c0_seq2_FPKM_all:4.068_FPKM_rel:2.917_len:445_path:[1	PRK12564	1e-32	63	133	1	71	290	360	360	carbamoyl phosphate synthase small subunit	X	Multifunctional
comp15303_c0_seq2_FPKM_all:4.772_FPKM_rel:2.526_len:1460_path:[	PRK13184	5e-11	23	64.0	6	203	8	225	932	serine/threonine-protein kinase	X	Multifunctional
comp15638_c0_seq1_FPKM_all:5.413_FPKM_rel:5.413_len:1363_path:[	PRK04750	2e-12	28	68.0	2	182	138	309	537	putative ubiquinone biosynthesis protein UbiB	R	General function prediction only
comp15699_c0_seq1_FPKM_all:6.61_FPKM_rel:6.61_len:1669_path:[17	PRK06932	2e-16	33	82.2	5	152	168	309	314	glycerate dehydrogenase	X	Multifunctional
comp38867_c0_seq1_FPKM_all:1.587_FPKM_rel:1.587_len:409_path:[0	PRK05396	5e-09	29	54.8	1	96	175	268	341	L-threonine 3-dehydrogenase	X	Multifunctional
comp38691_c0_seq1_FPKM_all:1.497_FPKM_rel:1.497_len:365_path:[0	PRK12678	2e-06	15	45.7	18	116	174	272	672	transcription termination factor Rho	K	Transcription
comp18374_c0_seq1_FPKM_all:3.073_FPKM_rel:3.073_len:767_path:[0	PRK14244	5e-11	28	61.4	14	101	170	247	251	phosphate ABC transporter ATP-binding protein	P	Inorganic ion transport and metabolism
comp19139_c0_seq1_FPKM_all:5.237_FPKM_rel:5.237_len:900_path:[0	PRK15113	2e-10	34	60.7	15	97	16	103	214	glutathione S-transferase	O	Posttranslational modification, protein turnover, chaperones
comp18784_c0_seq1_FPKM_all:3.348_FPKM_rel:1.887_len:561_path:[0	PRK11587	2e-04	31	38.4	12	73	144	205	218	putative phosphatase	R	General function prediction only
comp19618_c0_seq4_FPKM_all:3.415_FPKM_rel:2.4_len:370_path:[359	PRK00277	1e-52	55	199	1	116	85	200	200	ATP-dependent Clp protease proteolytic subunit	X	Multifunctional
comp21195_c0_seq1_FPKM_all:4.81_FPKM_rel:4.81_len:632_path:[0].	PRK10671	5e-24	34	105	29	207	638	816	834	copper exporting ATPase	P	Inorganic ion transport and metabolism
comp12620_c0_seq1_FPKM_all:5.271_FPKM_rel:5.271_len:1419_path:[	PRK13184	5e-12	25	67.5	189	469	3	276	932	serine/threonine-protein kinase	X	Multifunctional
comp12694_c0_seq3_FPKM_all:8.46_FPKM_rel:6.799_len:432_path:[27	PRK14971	3e-04	26	39.0	2	68	402	461	614	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp12965_c0_seq2_FPKM_all:5.798_FPKM_rel:4.13_len:430_path:[37	PRK11728	1e-28	41	120	31	131	4	103	393	hydroxyglutarate oxidase	R	General function prediction only
comp13777_c0_seq2_FPKM_all:7.468_FPKM_rel:3.916_len:375_path:[3	PRK00737	7e-06	50	43.8	85	123	6	45	72	small nuclear ribonucleoprotein	K	Transcription
comp12753_c0_seq1_FPKM_all:8.356_FPKM_rel:8.185_len:797_path:[6	PRK06197	2e-12	28	67.7	2	232	41	255	306	short chain dehydrogenase	X	Multifunctional
comp30496_c0_seq1_FPKM_all:2.381_FPKM_rel:2.068_len:545_path:[0	PRK14076	3e-09	32	56.3	19	109	352	437	569	inorganic polyphosphate/ATP-NAD kinase	G	Carbohydrate transport and metabolism
comp2558_c0_seq2_FPKM_all:85.514_FPKM_rel:24.313_len:3186_path:	PRK06181	5e-20	26	93.9	146	394	1	225	263	short chain dehydrogenase	R	General function prediction only
comp2939_c0_seq1_FPKM_all:56.504_FPKM_rel:56.504_len:4878_path:	PRK00723	2e-69	36	259	823	1122	2	293	297	phosphatidylserine decarboxylase	I	Lipid transport and metabolism
comp2535_c0_seq1_FPKM_all:78.088_FPKM_rel:78.088_len:2120_path:	PRK05771	1e-04	23	41.5	60	187	42	149	646	V-type ATP synthase subunit I	C	Energy production and conversion
comp3521_c0_seq1_FPKM_all:63.62_FPKM_rel:63.62_len:1333_path:[0	PRK05653	1e-58	35	221	41	302	1	245	246	3-ketoacyl-(acyl-carrier-protein) reductase	X	Multifunctional
comp2148_c1_seq4_FPKM_all:111.235_FPKM_rel:28.127_len:1207_path	PRK05704	1e-100	42	358	92	400	5	327	407	dihydrolipoamide succinyltransferase	C	Energy production and conversion
comp2528_c0_seq3_FPKM_all:30.454_FPKM_rel:17.918_len:6313_path:	PRK08591	1e-93	32	340	87	596	5	451	451	acetyl-CoA carboxylase biotin carboxylase subunit	I	Lipid transport and metabolism
